"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.99842,2079.6,1589.9,3.2951,-0.023558,0,4,0,0
0.94618,2008.7,1106.1,3.3311,-0.06684,0,4,0.1,0
0.94618,2008.7,1106.1,3.3311,-0.06684,0,4,0.1,1
0.99842,2079.6,1589.9,3.2951,-0.023558,0,4,0,1
0.5215,1186.3,344.65,3.9868,-0.1527,8.0611e-21,4,0.2,0
0.5215,1186.3,344.65,3.9868,-0.1527,8.0611e-21,4,0.2,1
0.074527,215.25,29.708,5.5383,-0.20563,3.1851e-20,4,0.3,0
0.074527,215.25,29.708,5.5383,-0.20563,3.1851e-20,4,0.3,1
6.3942e-07,-4.3229,-8.2494,5.413,-0.21184,2.379e-20,4,0.4,0
6.3942e-07,-4.3229,-8.2494,5.413,-0.21184,2.379e-20,4,0.4,1
3.1521e-05,-4.1924,-9.267,3.5613,-0.1671,-2.6526e-20,4,0.5,0
3.1521e-05,-4.1924,-9.267,3.5613,-0.1671,-2.6526e-20,4,0.5,1
0.0003614,-2.05,-10.208,2.7358,-0.1297,-5.5281e-20,4,0.6,0
0.0003614,-2.05,-10.208,2.7358,-0.1297,-5.5281e-20,4,0.6,1
0.00072027,0.51083,-11.327,2.4146,-0.11791,-2.8755e-20,4,0.7,0
0.00072027,0.51083,-11.327,2.4146,-0.11791,-2.8755e-20,4,0.7,1
0.00042835,-1.3417,-12.376,1.3985,-0.099352,0,4,0.8,0
0.00042835,-1.3417,-12.376,1.3985,-0.099352,0,4,0.8,1
3.8293e-05,-3.9511,-13.099,0.18728,-0.14118,0,4,0.9,0
3.8293e-05,-3.9511,-13.099,0.18728,-0.14118,0,4,0.9,1
2.3538e-12,-3.8123,-13.622,-0.35583,-0.26719,0,4,1,0
2.3538e-12,-3.8123,-13.622,-0.35583,-0.26719,0,4,1,1
2.9794e-12,-3.3555,-14.146,-0.35828,-0.41024,-1.0345e-19,4,1.1,0
2.9794e-12,-3.3555,-14.146,-0.35828,-0.41024,-1.0345e-19,4,1.1,1
6.4824e-12,-2.963,-14.735,-0.27406,-0.50773,-1.9367e-19,4,1.2,0
6.4824e-12,-2.963,-14.735,-0.27406,-0.50773,-1.9367e-19,4,1.2,1
5.6399e-12,-2.6213,-15.374,-0.23123,-0.5695,-9.022e-20,4,1.3,0
5.6399e-12,-2.6213,-15.374,-0.23123,-0.5695,-9.022e-20,4,1.3,1
1.0041e-12,-2.3218,-16.056,-0.20293,-0.61631,0,4,1.4,0
1.0041e-12,-2.3218,-16.056,-0.20293,-0.61631,0,4,1.4,1
4.5325e-14,-2.0613,-16.776,-0.1752,-0.65099,0,4,1.5,0
4.5325e-14,-2.0613,-16.776,-0.1752,-0.65099,0,4,1.5,1
1.337e-15,-1.8349,-17.531,-0.15075,-0.67613,0,4,1.6,0
1.337e-15,-1.8349,-17.531,-0.15075,-0.67613,0,4,1.6,1
1.8405e-17,-1.6383,-18.315,-0.13052,-0.69441,0,4,1.7,0
