"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.99848,2154.3,1664.6,3.4654,-0.024218,0,4,0,0
0.95753,2089.8,1170.5,3.4994,-0.075348,0,4,0.1,0
0.95753,2089.8,1170.5,3.4994,-0.075348,0,4,0.1,1
0.99848,2154.3,1664.6,3.4654,-0.024218,0,4,0,1
0.55716,1297.6,379.74,3.8414,-0.1596,6.8529e-21,4,0.2,0
0.55716,1297.6,379.74,3.8414,-0.1596,6.8529e-21,4,0.2,1
0.098864,279.2,34.04,4.6865,-0.11691,1.5052e-20,4,0.3,0
0.098864,279.2,34.04,4.6865,-0.11691,1.5052e-20,4,0.3,1
8.5316e-07,-11.603,-15.531,4.4223,0.18213,8.1996e-21,4,0.4,0
8.5316e-07,-11.603,-15.531,4.4223,0.18213,8.1996e-21,4,0.4,1
0.00010331,-10.953,-16.415,3.154,0.4062,-3.6556e-20,4,0.5,0
0.00010331,-10.953,-16.415,3.154,0.4062,-3.6556e-20,4,0.5,1
0.00048331,-8.4671,-17.331,2.7023,0.34893,-7.1215e-20,4,0.6,0
0.00048331,-8.4671,-17.331,2.7023,0.34893,-7.1215e-20,4,0.6,1
0.00075445,-6.3914,-18.431,2.5319,0.3182,-3.4659e-20,4,0.7,0
0.00075445,-6.3914,-18.431,2.5319,0.3182,-3.4659e-20,4,0.7,1
0.00046107,-8.0612,-19.383,1.7473,0.42655,0,4,0.8,0
0.00046107,-8.0612,-19.383,1.7473,0.42655,0,4,0.8,1
8.709e-05,-10.328,-19.882,0.57165,0.51363,0,4,0.9,0
8.709e-05,-10.328,-19.882,0.57165,0.51363,0,4,0.9,1
3.6385e-08,-10.328,-20.139,-0.21491,0.45736,0,4,1,0
3.6385e-08,-10.328,-20.139,-0.21491,0.45736,0,4,1,1
6.465e-10,-9.5979,-20.389,-0.41142,0.28908,-1.9606e-19,4,1.1,0
6.465e-10,-9.5979,-20.389,-0.41142,0.28908,-1.9606e-19,4,1.1,1
7.9654e-11,-8.8862,-20.658,-0.35241,0.10507,-3.7207e-19,4,1.2,0
7.9654e-11,-8.8862,-20.658,-0.35241,0.10507,-3.7207e-19,4,1.2,1
8.0017e-11,-8.2579,-21.011,-0.28578,-0.027768,-1.7601e-19,4,1.3,0
8.0017e-11,-8.2579,-21.011,-0.28578,-0.027768,-1.7601e-19,4,1.3,1
4.6755e-11,-7.6845,-21.419,-0.25055,-0.12947,0,4,1.4,0
4.6755e-11,-7.6845,-21.419,-0.25055,-0.12947,0,4,1.4,1
7.0666e-12,-7.1468,-21.862,-0.22064,-0.21546,0,4,1.5,0
7.0666e-12,-7.1468,-21.862,-0.22064,-0.21546,0,4,1.5,1
2.9812e-13,-6.6537,-22.35,-0.1912,-0.28618,0,4,1.6,0
2.9812e-13,-6.6537,-22.35,-0.1912,-0.28618,0,4,1.6,1
1.2946e-14,-6.1991,-22.876,-0.16538,-0.34406,0,4,1.7,0
1.2946e-14,-6.1991,-22.876,-0.16538,-0.34406,0,4,1.7,1
4.1942e-16,-5.7779,-23.436,-0.14344,-0.39197,0,4,1.8,0
4.1942e-16,-5.7779,-23.436,-0.14344,-0.39197,0,4,1.8,1
1.0123e-17,-5.3859,-24.025,-0.12501,-0.4318,0,4,1.9,0
1.0123e-17,-5.3859,-24.025,-0.12501,-0.4318,0,4,1.9,1
2.4804e-19,-5.0195,-24.639,-0.10959,-0.46488,0,4,2,0
2.4804e-19,-5.0195,-24.639,-0.10959,-0.46488,0,4,2,1
6.7742e-21,-4.6755,-25.277,-0.09663,-0.49235,0,4,2.1,0
6.7742e-21,-4.6755,-25.277,-0.09663,-0.49235,0,4,2.1,1
1.9939e-22,-4.3515,-25.933,-0.085669,-0.51513,0,4,2.2,0
1.9939e-22,-4.3515,-25.933,-0.085669,-0.51513,0,4,2.2,1
6.1299e-24,-4.045,-26.608,-0.076298,-0.53411,-1.6313e-19,4,2.3,0
6.1299e-24,-4.045,-26.608,-0.076298,-0.53411,-1.6313e-19,4,2.3,1
1.9195e-25,-3.7542,-27.298,-0.068205,-0.55,-3.1843e-19,4,2.4,0
1.9195e-25,-3.7542,-27.298,-0.068205,-0.55,-3.1843e-19,4,2.4,1
6.0133e-27,-3.4774,-28.002,-0.061115,-0.5633,-1.553e-19,4,2.5,0
6.0133e-27,-3.4774,-28.002,-0.061115,-0.5633,-1.553e-19,4,2.5,1
1.8679e-28,-3.213,-28.719,-0.054855,-0.57445,0,4,2.6,0
1.8679e-28,-3.213,-28.719,-0.054855,-0.57445,0,4,2.6,1
5.724e-30,-2.9596,-29.447,-0.049227,-0.58384,0,4,2.7,0
5.724e-30,-2.9596,-29.447,-0.049227,-0.58384,0,4,2.7,1
1.7229e-31,-2.7159,-30.184,-0.044076,-0.59189,2.6377e-19,4,2.8,0
1.7229e-31,-2.7159,-30.184,-0.044076,-0.59189,2.6377e-19,4,2.8,1
5.0874e-33,-2.4809,-30.93,-0.039337,-0.59888,5.191e-19,4,2.9,0
5.0874e-33,-2.4809,-30.93,-0.039337,-0.59888,5.191e-19,4,2.9,1
1.4753e-34,-2.2534,-31.683,-0.034938,-0.60503,2.5533e-19,4,3,0
1.4753e-34,-2.2534,-31.683,-0.034938,-0.60503,2.5533e-19,4,3,1
4.2076e-36,-2.0326,-32.444,-0.030835,-0.61055,0,4,3.1,0
4.2076e-36,-2.0326,-32.444,-0.030835,-0.61055,0,4,3.1,1
1.1827e-37,-1.8174,-33.209,-0.027021,-0.6156,-2.36e-19,4,3.2,0
1.1827e-37,-1.8174,-33.209,-0.027021,-0.6156,-2.36e-19,4,3.2,1
3.2849e-39,-1.6073,-33.98,-0.023527,-0.62034,-4.6729e-19,4,3.3,0
3.2849e-39,-1.6073,-33.98,-0.023527,-0.62034,-4.6729e-19,4,3.3,1
9.0443e-41,-1.4013,-34.755,-0.020304,-0.62489,-2.3129e-19,4,3.4,0
9.0443e-41,-1.4013,-34.755,-0.020304,-0.62489,-2.3129e-19,4,3.4,1
2.4775e-42,-1.1988,-35.534,-0.017001,-0.62921,1.1212e-19,4,3.5,0
2.4775e-42,-1.1988,-35.534,-0.017001,-0.62921,1.1212e-19,4,3.5,1
6.7262e-44,-0.99918,-36.315,-0.013054,-0.6331,2.2248e-19,4,3.6,0
6.7262e-44,-0.99918,-36.315,-0.013054,-0.6331,2.2248e-19,4,3.6,1
1.4013e-45,-0.80276,-37.1,-0.0084624,-0.63694,3.2836e-19,4,3.7,0
1.4013e-45,-0.80276,-37.1,-0.0084624,-0.63694,3.2836e-19,4,3.7,1
0,-0.60882,-37.887,-0.0042733,-0.64072,4.3915e-19,4,3.8,0
0,-0.60882,-37.887,-0.0042733,-0.64072,4.3915e-19,4,3.8,1
0,-0.41216,-38.671,-0.0015374,-0.64109,2.2114e-19,4,3.9,0
0,-0.41216,-38.671,-0.0015374,-0.64109,2.2114e-19,4,3.9,1
0,-0.31212,-39.062,-0.00060306,-0.63973,0,4,4,0
0,-0.31212,-39.062,-0.00060306,-0.63973,0,4,4,1
