"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0,-2.478,-41.718,0,-2.2275,0,0,4,0
0,-2.478,-41.718,0,-2.2275,0,0,4,1
0.098704,-1.239,-3909.7,1.8417,1.0402,0,0.1,4,1
0.098704,-1.239,-3909.7,1.8417,1.0402,0,0.1,4,0
0.53065,0,-20841,2.9472,7.0932,-1.014e-17,0.2,4,1
0.53065,0,-20841,2.9472,7.0932,-1.014e-17,0.2,4,0
0.7516,0,-29503,0.86548,9.7124,-2.1863e-17,0.3,4,1
0.7516,0,-29503,0.86548,9.7124,-2.1863e-17,0.3,4,0
0.32029,0,-12595,-2.1674,6.5598,-1.306e-17,0.4,4,1
0.32029,0,-12595,-2.1674,6.5598,-1.306e-17,0.4,4,0
0.00064973,0,-64.71,-3.0795,3.9151,3.6352e-19,0.5,4,1
0.00064973,0,-64.71,-3.0795,3.9151,3.6352e-19,0.5,4,0
1.2551e-05,0,-39.732,-2.2025,3.7975,7.4115e-20,0.6,4,1
1.2551e-05,0,-39.732,-2.2025,3.7975,7.4115e-20,0.6,4,0
5.1923e-06,0,-39.444,-1.3286,2.2838,-2.8606e-18,0.7,4,1
5.1923e-06,0,-39.444,-1.3286,2.2838,-2.8606e-18,0.7,4,0
3.117e-06,-0.0039077,-39.366,-0.27821,0.55293,-1.2344e-18,0.8,4,1
3.117e-06,-0.0039077,-39.366,-0.27821,0.55293,-1.2344e-18,0.8,4,0
1.2678e-13,-0.0039077,-39.244,-0.13537,0.10596,0,0.9,4,1
1.2678e-13,-0.0039077,-39.244,-0.13537,0.10596,0,0.9,4,0
3.8035e-13,0,-39.24,-0.16649,0.38245,0,1,4,1
3.8035e-13,0,-39.24,-0.16649,0.38245,0,1,4,0
1.2997e-12,0,-39.24,-0.040231,0.53614,1.1061e-19,1.1,4,1
1.2997e-12,0,-39.24,-0.040231,0.53614,1.1061e-19,1.1,4,0
1.1217e-12,0,-39.24,0.023876,0.68198,1.864e-19,1.2,4,1
1.1217e-12,0,-39.24,0.023876,0.68198,1.864e-19,1.2,4,0
7.8069e-14,0,-39.24,0.069648,0.75698,7.5795e-20,1.3,4,1
7.8069e-14,0,-39.24,0.069648,0.75698,7.5795e-20,1.3,4,0
3.4182e-15,0,-39.24,0.077152,0.81973,-3.2096e-20,1.4,4,1
3.4182e-15,0,-39.24,0.077152,0.81973,-3.2096e-20,1.4,4,0
1.2195e-15,0,-39.24,0.076656,0.86593,-6.4668e-20,1.5,4,1
1.2195e-15,0,-39.24,0.076656,0.86593,-6.4668e-20,1.5,4,0
5.1093e-16,0,-39.24,0.064643,0.90358,-3.4374e-20,1.6,4,1
5.1093e-16,0,-39.24,0.064643,0.90358,-3.4374e-20,1.6,4,0
2.1945e-16,0,-39.24,0.050273,0.93731,-1.802e-21,1.7,4,1
2.1945e-16,0,-39.24,0.050273,0.93731,-1.802e-21,1.7,4,0
4.4948e-17,0,-39.24,0.037477,0.96827,4.9098e-20,1.8,4,1
4.4948e-17,0,-39.24,0.037477,0.96827,4.9098e-20,1.8,4,0
6.9626e-18,0,-39.24,0.026617,0.99841,1.2065e-19,1.9,4,1
6.9626e-18,0,-39.24,0.026617,0.99841,1.2065e-19,1.9,4,0
4.3138e-18,0,-39.24,0.017941,1.0272,-1.8496e-20,2,4,1
4.3138e-18,0,-39.24,0.017941,1.0272,-1.8496e-20,2,4,0
1.8858e-18,0,-39.24,0.01131,1.0547,-1.9439e-19,2.1,4,1
1.8858e-18,0,-39.24,0.01131,1.0547,-1.9439e-19,2.1,4,0
5.3338e-19,0,-39.24,0.0068453,1.0813,-1.0434e-19,2.2,4,1
5.3338e-19,0,-39.24,0.0068453,1.0813,-1.0434e-19,2.2,4,0
9.2135e-20,0,-39.24,0.0043037,1.107,0,2.3,4,1
9.2135e-20,0,-39.24,0.0043037,1.107,0,2.3,4,0
8.4095e-21,0,-39.24,0.0036648,1.1316,0,2.4,4,1
8.4095e-21,0,-39.24,0.0036648,1.1316,0,2.4,4,0
5.2209e-22,0,-39.24,0.0045265,1.1549,0,2.5,4,1
5.2209e-22,0,-39.24,0.0045265,1.1549,0,2.5,4,0
4.9942e-23,0,-39.24,0.006408,1.1763,0,2.6,4,1
4.9942e-23,0,-39.24,0.006408,1.1763,0,2.6,4,0
