"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.99999,2631.8,2386.5,0,0,0,0,0,0
0.99999,2615.6,2615.6,0,0,0,0.1,0,0
0.99999,2584.9,2584.9,0,0,0,0.2,0,0
0.99997,2563.1,2563.1,0,0,0,0.3,0,0
0.99996,2558.2,2558.2,0,0,0,0.4,0,0
0.99994,2573.4,2573.4,0,0,0,0.5,0,0
0.99993,2604.3,2604.3,0,0,0,0.6,0,0
0.99992,2639.3,2639.3,0,0,0,0.7,0,0
0.9999,2663.1,2663.1,0,0,0,0.8,0,0
0.99987,2667,2667,0,0,0,0.9,0,0
0.99985,2654.8,2654.8,0,0,0,1,0,0
0.99983,2635.6,2635.6,0,0,0,1.1,0,0
0.99982,2616,2616,0,0,0,1.2,0,0
0.99981,2598.1,2598.1,0,0,0,1.3,0,0
0.9998,2581.4,2581.4,0,0,0,1.4,0,0
0.9998,2565.1,2565.1,0,0,0,1.5,0,0
0.99979,2548.5,2548.5,0,0,0,1.6,0,0
0.99978,2531,2531,0,0,0,1.7,0,0
0.99978,2511.8,2511.8,0,0,0,1.8,0,0
0.99977,2491,2491,0,0,0,1.9,0,0
0.99976,2469,2469,0,0,0,2,0,0
0.99974,2446.6,2446.6,0,0,0,2.1,0,0
0.99973,2424.3,2424.3,0,0,0,2.2,0,0
0.99971,2402.4,2402.4,0,0,0,2.3,0,0
0.99969,2380.5,2380.5,0,0,0,2.4,0,0
0.99966,2358.3,2358.3,0,0,0,2.5,0,0
0.99964,2335.3,2335.3,0,0,0,2.6,0,0
0.9996,2311.3,2311.3,0,0,0,2.7,0,0
0.99957,2286.3,2286.3,0,0,0,2.8,0,0
0.99952,2260.8,2260.8,0,0,0,2.9,0,0
0.99947,2235.5,2235.5,0,0,0,3,0,0
0.99941,2211.1,2211.1,0,0,0,3.1,0,0
0.99934,2188.3,2188.3,0,0,0,3.2,0,0
0.99925,2167,2167,0,0,0,3.3,0,0
0.99916,2147.2,2147.2,0,0,0,3.4,0,0
0.99905,2128,2128,0,0,0,3.5,0,0
0.99892,2107.5,2107.5,0,0,0,3.6,0,0
0.99877,2085,2085,0,0,0,3.7,0,0
0.9986,2052.5,2052.5,0,0,0,3.8,0,0
0.99839,2034.7,2034.7,0,0,0,3.9,0,0
0.99828,2022.6,1777.8,1.6873,-0.014448,0,4,0,0
0.99999,2642,1661,0,0,0,0,0.1,0
0.99996,2618.3,1637.3,0.082368,-0.036353,0,0.1,0.1,0
0.99892,2573.4,1594,0.21621,-0.05542,0,0.2,0.1,0
0.99779,2546.9,1569.2,0.33862,-0.057418,0,0.3,0.1,0
0.99831,2550,1571.5,0.43122,-0.058045,0,0.4,0.1,0
0.9994,2571.5,1591.4,0.50276,-0.07896,0,0.5,0.1,0
0.99988,2599.9,1619.1,0.58248,-0.1177,0,0.6,0.1,0
0.99991,2627.8,1646.9,0.68037,-0.15214,-6.7807e-22,0.7,0.1,0
0.99989,2644.3,1663.4,0.79173,-0.16582,-1.8446e-21,0.8,0.1,0
0.99987,2645,1664.2,0.90745,-0.15892,-1.1665e-21,0.9,0.1,0
0.99984,2635,1654.2,1.0175,-0.14071,0,1,0.1,0
0.99983,2619.7,1638.9,1.1168,-0.12008,8.0074e-22,1.1,0.1,0
0.99982,2603.9,1623.1,1.206,-0.10251,1.4326e-21,1.2,0.1,0
0.9998,2588.8,1608,1.2883,-0.08997,6.3189e-22,1.3,0.1,0
0.99978,2573.9,1593.1,1.3671,-0.082298,0,1.4,0.1,0
0.99972,2558.5,1577.8,1.445,-0.078396,0,1.5,0.1,0
0.99962,2542.4,1561.9,1.5236,-0.076945,0,1.6,0.1,0
0.99942,2525.1,1544.9,1.6034,-0.076783,0,1.7,0.1,0
0.99908,2506.1,1526.4,1.6841,-0.077026,0,1.8,0.1,0
0.9986,2485.3,1506.2,1.7645,-0.07716,0,1.9,0.1,0
0.99798,2463.1,1484.9,1.8437,-0.077032,0,2,0.1,0
