"kst","nut","S","H","HU:0","HU:1","HU:2","Points:0","Points:1","Points:2"
30,1e-06,0,2,-7,0,0,8,0,0
30,1e-06,0,2,-7,0,0,8,4,0
30,1e-06,0,2,-7,0,0,8,4,1
30,1e-06,0,2,-7,0,0,8,0,1
