"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.99965,-801.07,-1291.4,6.2847,-0.43787,1.4758e-27,4,0,0
0.97638,170.92,-775.54,6.1088,-0.67716,1.4758e-27,4,0.1,0
0.97638,170.92,-775.54,6.1088,-0.67716,1.4758e-27,4,0.1,1
0.99965,-801.07,-1291.4,6.2847,-0.43787,1.4758e-27,4,0,1
0.60132,941.36,-66.844,5.3495,-0.99419,-9.7387e-20,4,0.2,0
0.60132,941.36,-66.844,5.3495,-0.99419,-9.7387e-20,4,0.2,1
0.12477,372.37,63.744,3.7796,-0.95228,-6.9494e-20,4,0.3,0
0.12477,372.37,63.744,3.7796,-0.95228,-6.9494e-20,4,0.3,1
6.7014e-08,5.0861,1.1618,2.4972,-0.88604,2.7893e-20,4,0.4,0
6.7014e-08,5.0861,1.1618,2.4972,-0.88604,2.7893e-20,4,0.4,1
1.2279e-07,5.1925,0.2869,1.298,-0.71225,2.2801e-20,4,0.5,0
1.2279e-07,5.1925,0.2869,1.298,-0.71225,2.2801e-20,4,0.5,1
8.9321e-08,5.019,-0.86745,0.17828,-0.42342,5.6092e-20,4,0.6,0
8.9321e-08,5.019,-0.86745,0.17828,-0.42342,5.6092e-20,4,0.6,1
7.9693e-11,4.7729,-2.0941,-0.0029136,-0.31736,3.3291e-20,4,0.7,0
7.9693e-11,4.7729,-2.0941,-0.0029136,-0.31736,3.3291e-20,4,0.7,1
7.0927e-11,4.5193,-3.3287,0.034614,-0.24389,1.203e-37,4,0.8,0
7.0927e-11,4.5193,-3.3287,0.034614,-0.24389,1.203e-37,4,0.8,1
4.2525e-11,4.26,-4.569,0.02852,-0.17608,1.0866e-37,4,0.9,0
4.2525e-11,4.26,-4.569,0.02852,-0.17608,1.0866e-37,4,0.9,1
1.5344e-11,3.999,-5.811,0.01162,-0.11055,6.6747e-38,4,1,0
1.5344e-11,3.999,-5.811,0.01162,-0.11055,6.6747e-38,4,1,1
4.6097e-12,3.7392,-7.0518,-0.0031385,-0.063248,7.0084e-20,4,1.1,0
4.6097e-12,3.7392,-7.0518,-0.0031385,-0.063248,7.0084e-20,4,1.1,1
1.3035e-12,3.4856,-8.2864,-0.014506,-0.029317,1.3716e-19,4,1.2,0
1.3035e-12,3.4856,-8.2864,-0.014506,-0.029317,1.3716e-19,4,1.2,1
2.1915e-13,3.2432,-9.5098,-0.024647,-0.0076048,6.7076e-20,4,1.3,0
2.1915e-13,3.2432,-9.5098,-0.024647,-0.0076048,6.7076e-20,4,1.3,1
1.659e-14,3.0114,-10.723,-0.033786,0.0057979,2.5721e-41,4,1.4,0
1.659e-14,3.0114,-10.723,-0.033786,0.0057979,2.5721e-41,4,1.4,1
7.9103e-16,2.7935,-11.921,-0.040371,0.01217,2.3276e-42,4,1.5,0
7.9103e-16,2.7935,-11.921,-0.040371,0.01217,2.3276e-42,4,1.5,1
4.0853e-17,2.5933,-13.103,-0.044807,0.011576,1.1645e-42,4,1.6,0
4.0853e-17,2.5933,-13.103,-0.044807,0.011576,1.1645e-42,4,1.6,1
2.1557e-18,2.4089,-14.268,-0.047743,0.0053078,0,4,1.7,0
2.1557e-18,2.4089,-14.268,-0.047743,0.0053078,0,4,1.7,1
1.0589e-19,2.2396,-15.418,-0.049586,-0.0053038,0,4,1.8,0
1.0589e-19,2.2396,-15.418,-0.049586,-0.0053038,0,4,1.8,1
4.832e-21,2.0833,-16.556,-0.05063,-0.019081,0,4,1.9,0
4.832e-21,2.0833,-16.556,-0.05063,-0.019081,0,4,1.9,1
2.068e-22,1.9377,-17.682,-0.051088,-0.035044,0,4,2,0
2.068e-22,1.9377,-17.682,-0.051088,-0.035044,0,4,2,1
8.3426e-24,1.8015,-18.8,-0.051088,-0.052354,0,4,2.1,0
8.3426e-24,1.8015,-18.8,-0.051088,-0.052354,0,4,2.1,1
3.1829e-25,1.6734,-19.909,-0.050642,-0.07039,0,4,2.2,0
3.1829e-25,1.6734,-19.909,-0.050642,-0.07039,0,4,2.2,1
1.152e-26,1.5524,-21.011,-0.049813,-0.088715,6.3163e-20,4,2.3,0
1.152e-26,1.5524,-21.011,-0.049813,-0.088715,6.3163e-20,4,2.3,1
