"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,32743,32498,0,0,0,-8,0,0
1,32735,32735,0,0,0,-7.9,0,0
1,32712,32712,0,0,0,-7.8,0,0
1,32672,32672,0,0,0,-7.7,0,0
1,32616,32616,0,0,0,-7.6,0,0
1,32544,32544,0,0,0,-7.5,0,0
1,32456,32456,0,0,0,-7.4,0,0
1,32352,32352,0,0,0,-7.3,0,0
1,32231,32231,0,0,0,-7.2,0,0
1,32094,32094,0,0,0,-7.1,0,0
1,31941,31941,0,0,0,-7,0,0
1,31770,31770,0,0,0,-6.9,0,0
1,31584,31584,0,0,0,-6.8,0,0
1,31381,31381,0,0,0,-6.7,0,0
1,31158,31158,0,0,0,-6.6,0,0
1,30918,30918,0,0,0,-6.5,0,0
1,30658,30658,0,0,0,-6.4,0,0
1,30379,30379,0,0,0,-6.3,0,0
1,30080,30080,0,0,0,-6.2,0,0
1,29760,29760,0,0,0,-6.1,0,0
1,29419,29419,0,0,0,-6,0,0
1,29054,29054,0,0,0,-5.9,0,0
1,28666,28666,0,0,0,-5.8,0,0
1,28252,28252,0,0,0,-5.7,0,0
1,27812,27812,0,0,0,-5.6,0,0
1,27344,27344,0,0,0,-5.5,0,0
1,26846,26846,0,0,0,-5.4,0,0
1,26317,26317,0,0,0,-5.3,0,0
1,25755,25755,0,0,0,-5.2,0,0
1,25156,25156,0,0,0,-5.1,0,0
1,24520,24520,0,0,0,-5,0,0
1,23844,23844,0,0,0,-4.9,0,0
1,23126,23126,0,0,0,-4.8,0,0
1,22362,22362,0,0,0,-4.7,0,0
1,21552,21552,0,0,0,-4.6,0,0
1,20692,20692,0,0,0,-4.5,0,0
1,19781,19781,0,0,0,-4.4,0,0
1,18818,18818,0,0,0,-4.3,0,0
1,17800,17800,0,0,0,-4.2,0,0
1,16728,16728,0,0,0,-4.1,0,0
1,15604,15604,0,0,0,-4,0,0
1,14430,14430,0,0,0,-3.9,0,0
1,13214,13214,0,0,0,-3.8,0,0
1,11964,11964,0,0,0,-3.7,0,0
1,10696,10696,0,0,0,-3.6,0,0
1,9425.6,9425.6,0,0,0,-3.5,0,0
1,8177.7,8177.7,0,0,0,-3.4,0,0
1,6980.3,6980.3,0,0,0,-3.3,0,0
1,5864.8,5864.8,0,0,0,-3.2,0,0
1,4859.4,4859.4,0,0,0,-3.1,0,0
1,3982.1,3982.1,0,0,0,-3,0,0
1,3236.6,3236.6,0,0,0,-2.9,0,0
1,2602.5,2602.5,0,0,0,-2.8,0,0
0.99998,2043.5,2043.5,0,0,0,-2.7,0,0
0.99985,1517.1,1517.1,0,0,0,-2.6,0,0
0.93353,1080,1080,0,0,0,-2.5,0,0
0.55879,598.21,598.21,0,0,0,-2.4,0,0
0.12885,180.4,180.4,0,0,0,-2.3,0,0
0.0043391,49.624,49.624,0,0,0,-2.2,0,0
0.00069963,26.505,26.505,0,0,0,-2.1,0,0
9.2694e-05,21.127,21.127,0,0,0,-2,0,0
1.0326e-05,18.803,18.803,0,0,0,-1.9,0,0
9.9126e-07,16.842,16.842,0,0,0,-1.8,0,0
8.311e-08,15.219,15.219,0,0,0,-1.7,0,0
6.1393e-09,13.868,13.868,0,0,0,-1.6,0,0
4.0325e-10,12.715,12.715,0,0,0,-1.5,0,0
2.4119e-11,11.725,11.725,0,0,0,-1.4,0,0
1.7048e-12,10.87,10.87,0,0,0,-1.3,0,0
1.5474e-13,10.123,10.123,0,0,0,-1.2,0,0
9.8749e-15,9.4655,9.4655,0,0,0,-1.1,0,0
3.9723e-16,8.8812,8.8812,0,0,0,-1,0,0
1.4221e-17,8.3578,8.3578,0,0,0,-0.9,0,0
4.7931e-19,7.8853,7.8853,0,0,0,-0.8,0,0
1.4996e-20,7.4559,7.4559,0,0,0,-0.7,0,0
4.3663e-22,7.0634,7.0634,0,0,0,-0.6,0,0
1.1867e-23,6.7025,6.7025,0,0,0,-0.5,0,0
3.018e-25,6.3691,6.3691,0,0,0,-0.4,0,0
7.1994e-27,6.0599,6.0599,0,0,0,-0.3,0,0
1.6142e-28,5.7721,5.7721,0,0,0,-0.2,0,0
3.4082e-30,5.5032,5.5032,0,0,0,-0.1,0,0
6.7879e-32,5.2513,5.2513,0,0,0,0,0,0
1.2772e-33,5.0147,5.0147,0,0,0,0.1,0,0
2.2738e-35,4.7921,4.7921,0,0,0,0.2,0,0
