"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.029276,0.26445,-14.571,8.3523,0.26181,0,4,0,0
0.022162,0.20219,-19.013,9.2234,0.21522,0,4,0.1,0
0.022162,0.20219,-19.013,9.2234,0.21522,0,4,0.1,1
0.029276,0.26445,-14.571,8.3523,0.26181,0,4,0,1
0.014226,0.095036,-29.348,9.903,0.093016,4.1341e-20,4,0.2,0
0.014226,0.095036,-29.348,9.903,0.093016,4.1341e-20,4,0.2,1
0.0074814,0.036962,-22,8.4413,0.026882,2.1334e-19,4,0.3,0
0.0074814,0.036962,-22,8.4413,0.026882,2.1334e-19,4,0.3,1
0.00079662,0.022383,-6.6506,4.6945,0.6489,1.7199e-19,4,0.4,0
0.00079662,0.022383,-6.6506,4.6945,0.6489,1.7199e-19,4,0.4,1
1.7388e-05,0.020416,-4.9618,1.2702,1.4089,2.8977e-19,4,0.5,0
1.7388e-05,0.020416,-4.9618,1.2702,1.4089,2.8977e-19,4,0.5,1
5.4928e-07,0.019837,-5.8691,0.21245,1.3615,4.2659e-19,4,0.6,0
5.4928e-07,0.019837,-5.8691,0.21245,1.3615,4.2659e-19,4,0.6,1
2.4816e-08,0.019824,-6.8473,0.14419,0.99023,1.3682e-19,4,0.7,0
2.4816e-08,0.019824,-6.8473,0.14419,0.99023,1.3682e-19,4,0.7,1
8.5467e-10,0.019824,-7.8282,0.18177,0.70159,0,4,0.8,0
8.5467e-10,0.019824,-7.8282,0.18177,0.70159,0,4,0.8,1
3.0186e-11,0.019824,-8.8092,0.15454,0.51538,0,4,0.9,0
3.0186e-11,0.019824,-8.8092,0.15454,0.51538,0,4,0.9,1
1.8507e-12,0.019824,-9.7902,0.11066,0.39019,-2.2898e-20,4,1,0
1.8507e-12,0.019824,-9.7902,0.11066,0.39019,-2.2898e-20,4,1,1
4.3152e-13,0.019824,-10.771,0.072796,0.30223,-3.9383e-20,4,1.1,0
4.3152e-13,0.019824,-10.771,0.072796,0.30223,-3.9383e-20,4,1.1,1
2.8221e-14,0.019824,-11.752,0.043316,0.23845,-1.6485e-20,4,1.2,0
2.8221e-14,0.019824,-11.752,0.043316,0.23845,-1.6485e-20,4,1.2,1
4.1315e-16,0.019824,-12.733,0.021554,0.19128,0,4,1.3,0
4.1315e-16,0.019824,-12.733,0.021554,0.19128,0,4,1.3,1
4.5651e-18,0.019824,-13.714,0.0064085,0.15576,0,4,1.4,0
4.5651e-18,0.019824,-13.714,0.0064085,0.15576,0,4,1.4,1
4.947e-20,0.019824,-14.695,-0.0035159,0.12836,0,4,1.5,0
4.947e-20,0.019824,-14.695,-0.0035159,0.12836,0,4,1.5,1
4.6906e-22,0.019824,-15.676,-0.0095919,0.10703,0,4,1.6,0
4.6906e-22,0.019824,-15.676,-0.0095919,0.10703,0,4,1.6,1
3.9027e-24,0.019824,-16.657,-0.013056,0.09029,0,4,1.7,0
3.9027e-24,0.019824,-16.657,-0.013056,0.09029,0,4,1.7,1
2.8847e-26,0.019824,-17.638,-0.014638,0.076841,0,4,1.8,0
2.8847e-26,0.019824,-17.638,-0.014638,0.076841,0,4,1.8,1
1.9161e-28,0.019824,-18.619,-0.014776,0.065787,0,4,1.9,0
1.9161e-28,0.019824,-18.619,-0.014776,0.065787,0,4,1.9,1
1.1517e-30,0.019824,-19.6,-0.013887,0.05656,0,4,2,0
1.1517e-30,0.019824,-19.6,-0.013887,0.05656,0,4,2,1
6.3059e-33,0.019824,-20.581,-0.012251,0.048844,-3.456e-21,4,2.1,0
6.3059e-33,0.019824,-20.581,-0.012251,0.048844,-3.456e-21,4,2.1,1
3.1644e-35,0.019824,-21.562,-0.010142,0.04237,-6.3382e-21,4,2.2,0
3.1644e-35,0.019824,-21.562,-0.010142,0.04237,-6.3382e-21,4,2.2,1
1.4631e-37,0.019824,-22.543,-0.0077598,0.036904,-2.9817e-22,4,2.3,0
1.4631e-37,0.019824,-22.543,-0.0077598,0.036904,-2.9817e-22,4,2.3,1
6.2603e-40,0.019824,-23.524,-0.0052922,0.032291,5.4593e-21,4,2.4,0
6.2603e-40,0.019824,-23.524,-0.0052922,0.032291,5.4593e-21,4,2.4,1
2.4887e-42,0.019824,-24.505,-0.0028809,0.028347,2.8753e-21,4,2.5,0
2.4887e-42,0.019824,-24.505,-0.0028809,0.028347,2.8753e-21,4,2.5,1
9.8091e-45,0.019824,-25.486,-0.00060018,0.024896,0,4,2.6,0
9.8091e-45,0.019824,-25.486,-0.00060018,0.024896,0,4,2.6,1
0,0.019824,-26.467,0.0015357,0.021806,0,4,2.7,0
0,0.019824,-26.467,0.0015357,0.021806,0,4,2.7,1
0,0.019824,-27.448,0.0035369,0.019048,0,4,2.8,0
0,0.019824,-27.448,0.0035369,0.019048,0,4,2.8,1
0,0.019824,-28.429,0.0053541,0.016613,0,4,2.9,0
0,0.019824,-28.429,0.0053541,0.016613,0,4,2.9,1
0,0.019824,-29.41,0.0069523,0.01445,0,4,3,0
0,0.019824,-29.41,0.0069523,0.01445,0,4,3,1
